battery,batería,0,0,0
bed,cama,0,0,0
bicycle,bicicleta,0,0,0
bird,pájaro,0,0,0
book,libro,0,0,0
bottle,botella,0,0,0
boyfriend,novio,0,0,0
brother,hermano,0,0,0
building,edificio,0,0,0
car,coche,0,0,0
cat,gato,0,0,0
chair,silla,0,0,0
charger,cargador,0,0,0
cloud,nube,0,0,0
country,país,0,0,0
county,condado,0,0,0
cyclist,ciclista,0,0,0
day,día,0,0,0
desk,escritorio,0,0,0
disc,disco,0,0,0
dog,perro,0,0,0
dress,vestido,0,0,0
earphone,audífono,0,0,0
earring,anillo,0,0,0
soil,suelo,0,0,0
electricity,electricidad,0,0,0
face,cara,0,0,0
father,padre,0,0,0
field,campo,0,0,0
finger,dedo,0,0,0
flower,flor,0,0,0
folder,carpeta,0,0,0
food,comida,0,0,0
football,fútbol,0,0,0
frog,rana,0,0,0
girlfriend,novia,0,0,0
glass,cristal,0,0,0
glasses,anteojos,0,0,0
glove,guante,0,0,0
grandpa,abuelo,0,0,0
grocery,tienda,0,0,0
guitar,guitarra,0,0,0
hand,mano,0,0,0
home,hogar,0,0,0
horse,caballo,0,0,0
house,casa,0,0,0
intelligence,inteligencia,0,0,0
justice,justicia,0,0,0
key,llave,0,0,0
keyboard,teclado,0,0,0
letter,carta,0,0,0
light,luz,0,0,0
lion,león,0,0,0
love,amor,0,0,0
memory,memoria,0,0,0
mother,madre,0,0,0
mother-in-law,suegra,0,0,0
mouth,boca,0,0,0
movie,película,0,0,0
movies,cine,0,0,0
music,música,0,0,0
necklace,collar,0,0,0
newspaper,periódico,0,0,0
notebook,cuaderno,0,0,0
pain,dolor,0,0,0
pencil,lapis,0,0,0
philosophy,filosofía,0,0,0
pineapple,piña,0,0,0
potato,patata,0,0,0
rain,lluvia,0,0,0
sadness,tristeza,0,0,0
sea,mar,0,0,0
sea side,playa,0,0,0
seat,asiento,0,0,0
ship,barco,0,0,0
shoe,zapato,0,0,0
sister,hermana,0,0,0
sky,cielo,0,0,0
sock,calcetín,0,0,0
sound,sonido,0,0,0
store,tienda,0,0,0
street,calle,0,0,0
Table,mesa,0,0,0
telephone,teléfono,0,0,0
theatre,teatro,0,0,0
think,pensamiento,0,0,0
tie,corbata,0,0,0
tiger,tigre,0,0,0
tomato,tomate,0,0,0
tooth,diente,0,0,0
town,ciudad,0,0,0
umbrella,paraguas,0,0,0
uncle,tío,0,0,0
water,agua,0,0,0
wind,viento,0,0,0
